FACILITYID,flood_risk_area_m2,flood_risk_percent
10004895,478503.8659249614,12.587221519045544
10004920,6460.45186228097,0.1288297953207296
10003131,0,0
10004256,1892860.6367909478,54.364733789768394
10002290,123363.86110825809,2.6306220328877763
10003127,0,0
10006608,101070.80594801939,2.6868519103795685
10003757,93222.57180034478,2.3333979070967064
10003199,69255.90855464363,1.4049627103106876
10003195,1376249.6043078788,28.97515023825838
10003166,88437.18446290765,1.912154139628923
10003188,558769.1857234148,11.503380122510865
10003198,205572.29532262037,3.625422133726581
10003132,0,0
10003122,0,0
10003189,247075.12659254216,4.440829554033812
10006203,0,0
10006519,0,0
10001054,0,0
10001060,677185.4922236938,13.898819471370254
10001075,0,0
10003152,0,0
10003149,NA,NA
10001072,0,0
10001071,873688.767493943,16.25666979723696
10004712,1922622.2690288941,42.589918785752126
10001051,713525.1046266983,11.207185078511223
10006382,172907.96014352003,4.937788284646589
10001059,0,0
10001052,0,0
10006545,449458.4656807117,11.20659710804702
10003204,0,0
10006198,2098792.8458581404,41.492794389217835
10002713,961030.8744822642,24.198711559462343
10003197,0,0
10005554,1222080.2405505732,30.866341386095066
10006616,1550384.8700914844,21.68116238500866
10003146,NA,NA
10000752,0,0
10004928,0,0
10001816,424130.0246809301,9.822689203221028
10001547,NA,NA
10004121,964880.0661925959,26.052504270041492
10001586,1637315.7143531202,31.89271055439583
10001582,0,0
10001578,0,0
10003268,0,0
10003327,0,0
10006658,85759.41411101236,2.4440265961159
10006663,48640.10492970834,1.0749471514292623
10001096,120003.38025862868,2.18873588391412
10001077,NA,NA
10001087,52759.84951330919,1.132375052699674
10001099,45808.59239562861,0.9848659168338433
10005639,361335.0892708693,10.60668545203168
10001100,13968.529477704988,0.270677799836552
10001856,344197.1121993139,10.125504189224518
10001853,427007.3348352648,12.844846336272262
10001852,237738.16277921008,7.168147364643109
10001078,NA,NA
10001863,0,0
10001076,NA,NA
10006541,376645.327725037,11.294153739137327
10001089,0,0
10001862,38795.75640564613,1.1058499522496537
10001861,21205.354031421703,0.6128748789345854
10001093,101494.27734750678,2.9926419638554482
10001871,399270.53271987353,11.97408989362197
10001869,173518.2418958536,5.071891373086824
10004286,166108.80850766736,4.711626434133202
10003073,144186.23699330896,2.608959914050667
10001597,151265.49344597914,4.100557727953812
10001232,183281.4485459629,5.300699807013002
10003316,0,0
10000387,715459.0615890002,18.54330897670571
10005043,86436.34133500294,2.494804231419873
10000360,244065.28729960034,4.951635426743359
10000370,146148.3754991987,3.6576293993234072
10001240,20216.97946947798,0.38020190847060414
10002843,2601061.023102285,58.41386780555106
10002987,1102485.2907600799,29.971036703194535
10002988,1173474.8318472176,30.652550448953182
10003012,207522.26683138043,5.37913890521205
10003002,0,0
10002997,654823.4784235732,17.919409375457015
10003006,0,0
10000261,48755.00451505666,1.1495108543412937
10003004,0,0
10003799,36286.211111599645,0.6901430739077291
10000260,184642.30888687255,5.373053965839816
10006331,1453659.9901707284,36.78068379014554
10002991,0,0
10002995,957881.6590956755,21.564397633565275
10002996,733751.9286320297,14.11560649413789
10003005,0,0
10003000,850865.8766971792,20.490886949388432
10000259,512652.5740329002,10.821459725830945
10003008,0,0
10005319,1426.630910892184,0.03538311797136816
10005272,48631.84665035145,1.0218008259040607
10005267,0,0
10005362,66234.6283586824,1.7977175611067164
10005275,0,0
10000811,0,0
10000840,0,0
10000881,205417.95551432352,4.148327217485081
10000784,172039.43900124717,4.365719455647089
10002322,486891.33751421666,8.07588498169135
10000492,646397.6814286126,16.715200978245715
10004116,483963.48242530064,11.732250218916075
10002176,2948128.2637896733,70.57024888837896
10006596,977306.6662988848,29.591834344999192
10006208,1139990.7022058226,29.053953818920203
10004122,1637011.268597614,37.4455615973974
10006597,1025475.4240616948,30.14876847036318
10000540,1211881.008341622,33.07985099735533
10006389,399236.7468982141,12.114162260160537
10003579,0,0
10001737,207624.23198006154,6.182574321038874
10006505,1705.16649322562,0.04316507193462733
10000155,0,0
10006304,0,0
10001790,1638971.2597953456,22.88095327297777
10001776,488447.7573585552,10.683196806939495
10006507,500832.54847201076,13.067229598568671
10006509,0,0
10002897,916094.6285148535,22.340284992581655
10001301,1448112.1129727813,30.656161024939
10006513,441276.327961708,11.809919994964277
10000917,460878.35412812367,13.11891985905682
10001550,444079.2880279529,12.97102875937209
10000182,1443283.311474205,11.150062664453047
10001544,346990.39570483955,8.92125378884272
10000879,0,0
10004922,894559.2551654057,22.28359808844725
10005830,226627.1904828181,6.935673899509692
10001636,0,0
10001614,0,0
10006354,NA,NA
10006148,1035615.3389706055,21.717032090003986
10002347,0,0
10001761,302089.73078613967,5.891424493977102
10002908,0,0
10001826,213808.18302156846,5.386692271530564
10001023,153081.33642800103,2.9849935957139353
10001759,959708.5249989486,21.009188491169773
10004216,2712879.964606528,69.75753286284804
10004177,NA,NA
10004219,30556.552780408838,0.5706731330943924
10001763,0,0
10001801,804489.0631582185,20.16803805174926
10001552,429952.35798423557,11.635110088333771
10004173,986921.1540127543,19.790072369940635
10004165,131193.04633981554,3.371066852353391
10001788,275558.30075614277,6.643322294123366
10004035,467891.5909196502,11.704338819848575
10001558,NA,NA
10001752,0,0
10000053,0,0
10002359,NA,NA
10003759,0,0
10002364,NA,NA
10006353,NA,NA
10004226,934620.6331430348,20.611796717451064
10004183,427918.6592781466,9.916253329396781
10001569,1141878.5653822862,21.72407851246236
10001570,616210.059832033,14.134252512010889
10001556,0,0
10001553,205582.5988066313,5.967115398941547
